ticker,alpha,beta,alpha_se,beta_se,t_alpha,t_beta,p_alpha,p_beta,alpha_ci95,beta_ci95,R2,n
ACB,-0.005250076173568441,0.8259254294153671,0.006823389907363214,0.13715013267034964,-0.7694234456546315,6.022053448541236,0.441641974583431,1.7221800029471911e-09,"(-0.018623674644474435, 0.008123522297337555)","(0.5571161089065915, 1.0947347499241427)",0.3902205955163507,71
BCM,0.00333763061531723,1.0786555064583092,0.011939535625719594,0.2468895678639885,0.27954442450236183,4.368979685089573,0.779827050424944,1.2482837663145453e-05,"(-0.020063429203226072, 0.02673869043386053)","(0.5947608452862343, 1.5625501676303841)",0.3320173888727581,71
BID,-0.011351971845514397,1.0880107149460951,0.00786719569266489,0.07922747000197373,-1.4429502314399776,13.732745913999151,0.14903449149158318,6.4636569452699484e-43,"(-0.026771392062466225, 0.004067448371437431)","(0.932727727155999, 1.2432937027361912)",0.495737313398947,71
BVH,-0.011722922094620218,1.0955969184168726,0.007427965062172451,0.13702617544419288,-1.578214490307743,7.995530159586773,0.11451634243526695,1.290174897149247e-15,"(-0.026281466094900046, 0.0028356219056596098)","(0.8270305496069879, 1.3641632872267573)",0.566898591036441,71
CTG,0.00257753025728518,1.1955608729324207,0.009594191563210917,0.12371671677164894,0.26865528380408427,9.66369706641291,0.7881949653401095,4.300573361232738e-22,"(-0.016226739667386258, 0.02138180018195662)","(0.9530805637744464, 1.438041182090395)",0.5330186931052119,71
FPT,0.00223357071867051,0.7138757049653154,0.008598298043190131,0.13600532787714098,0.25976893420663666,5.2488804380530425,0.7950420154163444,1.5302634798940976e-07,"(-0.014618783774323369, 0.019085925211664388)","(0.4473101606205577, 0.9804412493100731)",0.3023294790514003,71
GAS,-0.012881418045292728,0.912186679163053,0.0072221313961225025,0.14359582324563808,-1.783603390573681,6.352459692387062,0.07448813428273773,2.1189896137854228e-10,"(-0.02703653547330881, 0.0012736993827233544)","(0.6307440372712229, 1.1936293210548832)",0.438936845116509,71
GVR,-0.0007066607433145224,1.7676818758082276,0.012184154596450798,0.24565020802216642,-0.05799834019837291,7.195930709933368,0.9537499506328282,6.203612877818615e-13,"(-0.024587164934426243, 0.023173843447797198)","(1.2862163152900092, 2.249147436326446)",0.6375133892459126,71
HDB,-0.007175175068994732,1.1621158446699487,0.00992114303290472,0.16674006891509677,-0.7232206052465286,6.969625550902779,0.4695443614852669,3.177856637735275e-12,"(-0.026620258098958464, 0.012269907960968999)","(0.8353113148166325, 1.4889203745232649)",0.4652104831646724,71
HPG,-0.008136104563138813,1.320828801686897,0.010444409333807421,0.14774543642614366,-0.7789913534701407,8.939895766913688,0.4359848081708738,3.895376184657574e-19,"(-0.02860677069719534, 0.012334561570917712)","(1.0312530674115032, 1.6104045359622907)",0.5235924885147548,71
KDH,-0.0042823641323257895,1.0749538389495426,0.007116205557796964,0.14032147113111795,-0.6017763395878526,7.660651148284311,0.5473230266612473,1.8499272682115357e-14,"(-0.018229870732191605, 0.009665142467540026)","(0.7999288092748744, 1.3499788686242107)",0.4991514286489619,71
MBB,-0.007740898076663523,1.1898944498988264,0.007930315848972124,0.14089656630634192,-0.9761147253254545,8.445162867288895,0.32900761494559094,3.0362184759535915e-17,"(-0.023284031526676068, 0.007802235373349022)","(0.9137422543930366, 1.4660466454046164)",0.5609345588664543,71
MSN,-0.0018740269306994693,0.8188914714772644,0.010457032939368827,0.23117442727942245,-0.17921210935886975,3.5423099393578834,0.8577711557611045,0.00039663913665854994,"(-0.02236943487701139, 0.01862138101561245)","(0.3657979198629226, 1.271985023091606)",0.2610569645324723,71
MWG,-0.016602079045796962,1.485334677158264,0.01160794636501105,0.24041964366450655,-1.4302339555805794,6.178091999965583,0.15264988292425896,6.488090559047133e-10,"(-0.039353235855691254, 0.006149077764097333)","(1.0141208343998778, 1.9565485199166504)",0.4161823599833935,71
NVL,-0.023574153458664017,0.6627786481306718,0.025927300471182035,0.28046614507003503,-0.9092405699878582,2.3631324485355254,0.3632231533938489,0.01812119192538041,"(-0.07439072859852919, 0.027242421681201147)","(0.11307510491061712, 1.2124821913507264)",0.05589714204585727,71
PDR,-0.010032563906770865,1.0570434767896841,0.02188759268892184,0.326265548868098,-0.4583676263241473,3.2398255974522874,0.6466883461221862,0.0011960282876887253,"(-0.052931457285339864, 0.03286632947179814)","(0.41757475161201907, 1.6965122019673493)",0.14789525056298014,71
PLX,-0.015225540788112052,1.0632462856879215,0.007217954036879893,0.0914520666110681,-2.109398412668973,11.626268547978782,0.03491020639940252,3.030577773246633e-31,"(-0.029372470742462135, -0.0010786108337619699)","(0.88400352881847, 1.242489042557373)",0.5943623484312862,71
POW,-0.0056582769640577115,1.1715848219157754,0.007858306028635489,0.10525177523154382,-0.720037746486212,11.131259490287942,0.4715017552675981,8.837783464840893e-29,"(-0.021060273759677253, 0.009743719831561828)","(0.9652951331530446, 1.3778745106785062)",0.5121216931518109,71
SAB,-0.029280053883749702,0.9503867970343515,0.015289500007513222,0.2323574987840282,-1.9150432564414506,4.09019206183536,0.05548698734624455,4.3101612188771755e-05,"(-0.0592469232401005, 0.0006868154726010975)","(0.4949744678798468, 1.4057991261888563)",0.2572785851419416,71
SHB,0.009098403320700695,0.4916073724986401,0.017485926116896117,0.3929290637151834,0.5203272197238203,1.2511351739941137,0.6028355272526509,0.21088516450658412,"(-0.025173382104744013, 0.0433701887461454)","(-0.27851944086216346, 1.2617341858594437)",0.07863443929116842,71
SSI,-0.004345484842695612,1.7321906594348615,0.011606245297417304,0.2868526556370066,-0.37440918499823517,6.038607715128969,0.7080999104436945,1.5544964373808629e-09,"(-0.027093307621370896, 0.018402337935979673)","(1.169969785516658, 2.294411533353065)",0.5152346677746001,71
STB,0.01341406437717934,1.2329509127055434,0.008207467727887396,0.12761280220996046,1.63437308825485,9.661655346122544,0.10218053546556541,4.3871676388607255e-22,"(-0.0026722767737547455, 0.029500405528113425)","(0.9828344164077875, 1.4830674090032994)",0.4880252906545788,71
TCB,-0.005538966114652478,1.4084589959005263,0.011725217565439358,0.09984830412740557,-0.47239772599007857,14.105988160833906,0.6366429271980827,3.488679886929149e-45,"(-0.028519970253810034, 0.01744203802450508)","(1.2127599158934093, 1.6041580759076433)",0.47779189565085645,71
TPB,-0.010430496747706373,0.9851457747919342,0.0075404599416423876,0.16109351574665978,-1.3832706265175791,6.115365787541705,0.16658190106865844,9.633573172293274e-10,"(-0.025209526660192452, 0.004348533164779704)","(0.669408285785545, 1.3008832637983234)",0.3998123450187401,71
VCB,-0.01208474349145126,0.793991509210002,0.008725330680968564,0.11839066023704048,-1.3850183945245935,6.70653840108908,0.16604684284019122,1.992954193567839e-11,"(-0.029186077379351992, 0.005016590396449472)","(0.5619500790394845, 1.0260329393805196)",0.33860243741237395,71
VHM,-0.006894690940658717,1.2018717445230447,0.010644264835714684,0.09370853101355459,-0.647737635907458,12.825638514696154,0.5171546575227213,1.1781198871680672e-37,"(-0.02775706666056565, 0.013967684779248219)","(1.018206398692323, 1.3855370903537663)",0.5022313509575562,71
VIC,0.003304002375302776,0.8504640873148174,0.015111885711830308,0.10503404603615463,0.21863600865616956,8.097032528120188,0.8269336004871435,5.631601795873437e-16,"(-0.026314749358370068, 0.03292275410897562)","(0.6446011399334323, 1.0563270346962024)",0.2235254477551275,71
VJC,-0.0015893867551467914,0.7190094956960154,0.00915536582767584,0.11848378677196024,-0.17360166541267194,6.06842096530774,0.8621785230866638,1.2917395628121221e-09,"(-0.01953357404268018, 0.0163548005323866)","(0.48678554087105, 0.9512334505209807)",0.2759450297726814,71
VNM,-0.012944039398566172,0.44985293222000505,0.005492656673312092,0.08287105383961334,-2.3566081349047563,5.428348155082469,0.01844269718077577,5.687800649727486e-08,"(-0.023709448657701457, -0.002178630139430886)","(0.28742865133348316, 0.6122772131065269)",0.3231780224726699,71
VPB,-0.0061368269824091295,1.4219306613458595,0.013593731810399719,0.2518003459906309,-0.45144534760603594,5.647056026677451,0.6516686062190312,1.6321865128965212e-08,"(-0.03278005174628904, 0.020506397781470787)","(0.9284110519094984, 1.9154502707822207)",0.3917758095312993,71
