,date,ticker,open,high,low,close,volume
0,2020-01-02,ACB,22.8,23.0,22.7,23.0,1163109
1,2020-01-03,ACB,23.0,23.2,22.9,23.0,1055528
2,2020-01-06,ACB,23.0,23.0,22.5,22.5,1286035
3,2020-01-07,ACB,22.5,22.7,22.5,22.5,1050934
4,2020-01-08,ACB,22.5,22.5,22.0,22.1,2304937
5,2020-01-09,ACB,22.2,22.6,22.2,22.4,1422248
6,2020-01-10,ACB,22.5,23.1,22.5,22.7,2371501
7,2020-01-13,ACB,22.9,22.9,22.7,22.9,1523181
8,2020-01-14,ACB,22.9,23.5,22.9,23.5,2851982
9,2020-01-15,ACB,23.5,23.5,23.2,23.3,1158657
10,2020-01-16,ACB,23.3,24.0,23.3,23.9,2819687
11,2020-01-17,ACB,24.0,24.1,23.7,23.8,2706194
12,2020-01-20,ACB,23.8,24.7,23.8,24.3,4443379
13,2020-01-21,ACB,24.5,24.7,24.3,24.5,1775816
14,2020-01-22,ACB,24.6,24.6,24.3,24.5,1574379
15,2020-01-30,ACB,24.2,24.3,23.2,23.6,4250097
16,2020-01-31,ACB,23.5,23.8,22.9,23.0,4243264
17,2020-02-03,ACB,22.3,23.0,21.7,22.6,4430186
18,2020-02-04,ACB,22.9,23.2,22.5,23.2,2397062
19,2020-02-05,ACB,23.4,23.5,22.9,23.0,2790275
20,2020-02-06,ACB,23.1,24.0,23.0,24.0,2980981
21,2020-02-07,ACB,24.0,24.1,23.6,23.8,2007251
22,2020-02-10,ACB,23.8,23.9,23.4,23.6,1271190
23,2020-02-11,ACB,23.6,23.8,23.5,23.7,1862090
24,2020-02-12,ACB,23.8,25.7,23.8,25.6,10516207
25,2020-02-13,ACB,25.6,25.7,25.1,25.5,3773365
26,2020-02-14,ACB,25.5,26.8,25.5,26.4,8018099
27,2020-02-17,ACB,26.3,26.7,26.0,26.4,3764464
28,2020-02-18,ACB,26.4,27.1,26.3,26.6,6293208
29,2020-02-19,ACB,26.5,26.7,25.9,26.3,5091969
30,2020-02-20,ACB,26.3,27.0,26.1,26.4,5578717
