,date,ticker,open,high,low,close,volume
0,2020-01-02,VNINDEX,960.26,966.67,959.67,966.67,128410670
1,2020-01-03,VNINDEX,968.72,970.88,965.14,965.14,144668880
2,2020-01-06,VNINDEX,962.79,965.14,955.59,955.79,137059570
3,2020-01-07,VNINDEX,955.79,959.46,953.19,958.88,126566780
4,2020-01-08,VNINDEX,954.13,958.88,945.28,948.98,175534190
5,2020-01-09,VNINDEX,953.86,960.73,948.98,960.15,130690470
6,2020-01-10,VNINDEX,961.17,969.71,960.15,968.54,160461650
7,2020-01-13,VNINDEX,966.89,968.63,964.79,965.84,115808100
8,2020-01-14,VNINDEX,966.26,968.85,965.76,967.0,125449000
9,2020-01-15,VNINDEX,967.69,967.69,964.84,967.56,109520090
10,2020-01-16,VNINDEX,967.2,974.7,967.17,974.31,143788670
11,2020-01-17,VNINDEX,976.28,980.02,973.79,978.96,114716080
12,2020-01-20,VNINDEX,978.23,979.85,975.93,978.63,98732080
13,2020-01-21,VNINDEX,978.82,986.37,978.63,986.37,123872370
14,2020-01-22,VNINDEX,986.52,991.46,983.92,991.46,124881140
15,2020-01-30,VNINDEX,975.15,991.46,954.0,959.58,174488050
16,2020-01-31,VNINDEX,959.58,960.96,936.62,936.62,203521680
17,2020-02-03,VNINDEX,916.6,936.62,891.85,928.14,238589640
18,2020-02-04,VNINDEX,929.42,934.91,919.33,929.09,171707930
19,2020-02-05,VNINDEX,934.75,936.33,921.89,925.91,158265300
20,2020-02-06,VNINDEX,926.66,938.54,925.21,938.54,199011870
21,2020-02-07,VNINDEX,938.61,943.48,935.94,940.75,159078180
22,2020-02-10,VNINDEX,934.38,940.75,926.61,930.73,124769190
23,2020-02-11,VNINDEX,930.73,936.04,930.73,934.67,152383070
24,2020-02-12,VNINDEX,940.72,943.11,934.67,937.68,180704710
25,2020-02-13,VNINDEX,937.19,939.1,934.47,938.24,148281160
26,2020-02-14,VNINDEX,939.28,940.65,936.47,937.45,164026980
27,2020-02-17,VNINDEX,938.52,938.52,931.66,934.77,143700760
28,2020-02-18,VNINDEX,927.93,934.98,926.01,927.93,154796540
29,2020-02-19,VNINDEX,926.41,931.66,925.86,928.76,155110900
30,2020-02-20,VNINDEX,933.69,938.13,928.76,938.13,176812010
31,2020-02-21,VNINDEX,938.13,940.53,932.32,933.09,170762390
32,2020-02-24,VNINDEX,917.49,917.49,903.34,903.34,246597810
33,2020-02-25,VNINDEX,893.95,909.67,893.95,909.67,177111460
34,2020-02-26,VNINDEX,901.51,903.27,894.25,895.97,124900000
35,2020-02-27,VNINDEX,892.15,899.34,889.14,898.44,127837480
36,2020-02-28,VNINDEX,885.47,898.44,872.46,882.19,177524420
37,2020-03-02,VNINDEX,878.43,886.45,877.31,884.43,167380280
38,2020-03-03,VNINDEX,895.39,896.39,884.43,890.61,170679850
39,2020-03-04,VNINDEX,887.85,890.61,882.83,889.37,187504950
40,2020-03-05,VNINDEX,892.71,898.43,889.37,893.31,203361170
41,2020-03-06,VNINDEX,888.96,893.31,882.71,891.44,167947850
42,2020-03-09,VNINDEX,875.8,891.44,834.67,835.49,263053320
43,2020-03-10,VNINDEX,813.83,843.28,806.63,837.5,230832850
44,2020-03-11,VNINDEX,843.52,844.94,794.54,811.35,267076050
45,2020-03-12,VNINDEX,778.06,811.35,762.12,769.25,300321120
46,2020-03-13,VNINDEX,750.56,769.25,723.42,761.78,272120840
47,2020-03-16,VNINDEX,758.28,758.59,737.58,747.86,214087850
48,2020-03-17,VNINDEX,724.07,750.03,721.84,745.78,194484800
49,2020-03-18,VNINDEX,747.4,752.65,742.12,747.66,196989710
50,2020-03-19,VNINDEX,732.35,747.66,714.02,725.94,299318150
51,2020-03-20,VNINDEX,728.55,729.35,709.73,709.73,191037210
52,2020-03-23,VNINDEX,694.77,709.73,664.23,666.59,215575310
53,2020-03-24,VNINDEX,666.59,666.59,652.27,659.21,201483240
54,2020-03-25,VNINDEX,669.76,690.25,659.21,690.25,203649540
55,2020-03-26,VNINDEX,689.0,700.76,680.1,694.21,162568840
56,2020-03-27,VNINDEX,692.54,703.22,682.52,696.06,201217090
57,2020-03-30,VNINDEX,663.91,665.56,657.36,662.26,186661120
58,2020-03-31,VNINDEX,669.74,678.64,649.1,662.53,219653380
59,2020-04-01,VNINDEX,658.8,684.96,657.41,680.23,196877180
60,2020-04-03,VNINDEX,687.92,701.8,680.23,701.8,189031820
61,2020-04-06,VNINDEX,716.22,736.75,701.8,736.75,294808670
62,2020-04-07,VNINDEX,744.97,749.13,730.28,746.69,270016090
63,2020-04-08,VNINDEX,740.03,748.36,730.12,748.02,197089400
64,2020-04-09,VNINDEX,751.08,765.87,748.02,760.33,264010370
65,2020-04-10,VNINDEX,759.08,764.36,751.59,757.94,288523650
66,2020-04-13,VNINDEX,762.99,774.62,757.94,765.79,192714420
67,2020-04-14,VNINDEX,769.01,769.53,753.85,767.41,220987900
68,2020-04-15,VNINDEX,768.05,779.52,768.01,777.22,246931990
69,2020-04-16,VNINDEX,773.11,781.06,770.91,780.7,210855960
70,2020-04-17,VNINDEX,786.96,790.95,783.74,789.6,259215800
